cmd,key1,gesture1,kscore1,gscore1,anot1,key2,gesture2,kscore2,gscore2,anot2,key3,gesture3,kscore3,gscore3,anot3,key4,gesture4,kscore4,gscore4,anot4,key5,gesture5,kscore5,gscore5,anot5,key6,gesture6,kscore6,gscore6,anot6,key7,gesture7,kscore7,gscore7,anot7,key8,gesture8,kscore8,gscore8,anot8,key9,gesture9,kscore9,gscore9,anot9,key10,gesture10,kscore10,gscore10,anot10,key11,gesture11,kscore11,gscore11,anot11,key12,gesture12,kscore12,gscore12,anot12,key13,gesture13,kscore13,gscore13,anot13,key14,gesture14,kscore14,gscore14,anot14,key15,gesture15,kscore15,gscore15,anot15,key16,gesture16,kscore16,gscore16,anot16,key17,gesture17,kscore17,gscore17,anot17,key18,gesture18,kscore18,gscore18,anot18,key19,gesture19,kscore19,gscore19,anot19,key20,gesture20,kscore20,gscore20,anot20
Pan,G,left/right,4,7,,P,directional,7,7,,tab,left/right,5,7,,spacebar,FB,4,5,,Shift,left/right,7,7,,P,left/right,5,5,,M,directional,5,7,,win,directional,7,7,,shift,directional,7,7,,S,directional,7,7,changed from P,V,CW,6,5,,O,left/right,4,4,,V,directional,6,7,,F6,directional+LR,5,6,,?,directional,3,6,changed from CW and CCW,tab,directional,6,6,,menu,FB,6,7,,L,left,6,5,,spacebar,left/right,7,7,,P,CW/CCW,6,6,
Paste,C,towards,5,5,,V,towards,6,5,,V,top,6,6,,1,top,2,4,changed K score from 3,V,away,7,7,,P,top,7,7,,P,LR,7,6,,V,top,7,7,,+,towards,7,7,,V,top,7,5,,V,top,7,7,,V,left,6,4,,V,top,7,7,,V,top,7,6,changed from C. changed from LR,V,top,6,6,changed from towards,P,top,7,7,,-,top-double,7,7,,K,LR,6,6,changed from U. changed from CCW,P,top,7,7,,V,top,7,7,
Pause,V,top,6,6,,P,top,5,5,,spacebar,top,6,7,,>,top,6,4,,P,towards,7,7,,P,towards,6,5,changed from top. G score changed from 6,spacebar,top,7,7,,spacebar,top,7,7,,doublequote,FB,7,6,,P,top,7,7,,P,pull,7,7,,L,LR,4,4,,spacebar,top,6,7,,~,pull,7,6,,spacebar,top,6,6,,P,away,6,6,,-,top,7,7,,?,push,6,6,,=,towards,7,7,changed from spacebar. changed from top,P,FB,5,5,
Play,V,top,6,5,,P,top,5,5,,spacebar,top,6,6,,>,right,5,5,,P,away,5,7,,Y,top,5,6,,spacebar,top,7,7,,spacebar,top,7,7,,enter,LR/FB,7,7,,P,LR,7,4,,P,top,7,7,,L,top,2,2,,enter,top,7,7,,~,top,6,6,,spacebar,top,7,7,,P,towards,6,6,,+,top,7,7,,?,CW,5,5,,=,away,7,7,changed from spacebar. changed from top,T,top,6,7,
Previous,<,top,4,4,changed K score from 6,tab,left,7,7,,P,left,6,6,,1,left,5,6,changed from 2,<,top,7,6,,X,top,6,6,,backspace,left,7,6,,spacebar,left,7,7,,backspace,left,7,7,,H,left,7,7,changed from P. K score changed 7->6->7,P,left,7,7,,P,left,7,4,,<,top,7,7,G Score changed?,~,left,7,6,changed from top,F,CCW,5,6,,P,left,7,7,,win,left,7,7,,L,left,6,6,,<,left,7,7,,P,left,7,6,
Reject,X,pull,5,6,,N,top,7,5,,F8,away,3,6,,R,away,4,6,,backspace,top,7,7,,J,away,7,7,,N,top,7,7,,esc,top,7,7,,X,towards,7,6,,N,FB,7,5,,R,pull,6,5,,R,top,7,5,,N,top,6,7,,esc,away,7,6,,backspace,top,6,6,,R,top,6,6,,-,CCW,7,7,,M,CCW,6,6,changed from ?,R,top,7,6,changed from right; away; towards. K score from 4; 5. G score from 4,R,top,6,6,
Rotate,R,CW/CCW,7,7,,R,CW/CCW,7,7,,menu,CW/CCW,4,7,,R,FB,3,6,,R,CW/CCW,6,7,,R,top,6,6,,R,CW/CCW,7,7,,ctrl,CW/CCW,7,7,,0,CW/CCW,6,7,,R,CW/CCW,7,7,,R,CW,7,6,,R,CW/CCW,7,7,,R,CW/CCW,5,7,,F12,CW/CCW,6,7,,^,CW/CCW,6,7,[coding change from 6],R,CW/CCW,7,7,K score changed from 6,win,FB+CW,6,6,,U,CW/CCW,7,7,,R,CW/CCW,7,5,,R,CW/CCW,7,7,
Save,S,top,7,5,,S,pull,7,6,,S,top,6,5,,ctrl,top,5,4,,S,away,7,7,,S,top,7,7,,S,top,7,7,,S,top,7,7,,S,FB,7,6,,S,top,7,7,,S,away,7,6,,S,right,7,4,,S,top,5,6,,S,top,7,7,,S,top,7,7,,S,top,7,7,,menu,top,7,7,,P,left,6,6,,S,top,7,7,,S,top,7,7,
Save all,S,FB,7,5,changed from pull. changed G score from 6,S,FB,7,5,,F4,pull,4,5,,ctrlL,pull,4,4,,S,CW,7,6,,L,top,7,7,,S,LR,7,5,,S,top+away,7,7,,S,pull,7,7,,A,top,7,7,,S,left,7,5,,S,top,7,4,,S,pull,5,6,,S,LR,7,4,,S,pull,7,7,,S,left,5,5,changed from LR; FB,+,CW,6,6,,P,top,5,6,,S,LR,7,5,,H,CW,7,7,changed from A. changed from CCW
Save as,S,pull,7,6,,S,top,7,6,,F5,top,3,4,changed K score from 4,ctrlL,pull,4,4,changed from CCW. K score changed from 3,S,right,7,7,,S,left,7,7,,S,top,7,7,,S,towards,7,6,,S,towards,7,6,,S,pull,7,7,,S,right,7,5,changed from CW,S,left,7,4,,S,right,6,7,,S,FB,7,7,,S,directional,7,6,4 choices are to give the user choice. His single preference would be away (score of 7),S,right,6,6,,win,top-double,7,7,,P,right,6,7,changed from left,F1,top,1,4,changed from esc. K score from 4,S,pull,7,6,
Shrink,D,CCW,5,7,,^,towards,2,7,,-,LR,7,4,changed K score from 6,S,away,3,5,changed from <,-,top,7,7,,K,top,6,6,,enter,left,7,7,,-,towards,5,6,changed from - to win to -. changed from towards -> pull -> towards. K score 5->6->5. G score 5->6->5->6,+,CCW,7,7,,S,FB,7,7,,E,top,6,6,,S,top,7,4,,S,CCW,6,7,,F12,top,7,6,,A,CCW,5,6,changed from left,-,left,6,6,changed from S. changed from CCW,-,CCW,7,7,,U,CCW,7,5,changed from towards,O,CCW,7,7,,S,CCW,6,7,changed from CW
Task switch,tab,left/right,7,7,,tab,CW/CCW,6,6,,win,towards,7,4,,tab,pull,4,3,,>,CW/CCW,6,7,,W,top,6,6,,T,left/right,5,7,,tab,left/right,7,7,[coding change from top+left/top+right],tab,CW/CCW,7,7,,S,left,7,7,,W,top,6,6,,T,left,7,4,,W,left/right,6,6,,F5,LR,5,6,,tab,top,6,6,,win,right,7,7,,menu,right,6,6,,M,LR,6,6,,spacebar,CW/CCW,7,7,,T,towards,7,6,
Undo,U,top,7,5,,Z,top,6,6,,backspace,CCW,6,6,,shiftR,CCW,4,4,,backspace,left,7,7,,U,top,7,7,,backspace,top,7,7,,<,top,7,7,,U,pull,7,7,,Z,CCW,7,7,,U,top,6,7,,U,left,7,4,,Z,top,7,7,,backspace,away,6,6,,Z,top,7,7,,backspace,left,6,6,changed from top,win,CCW,6,7,changed from win,P,left,6,6,,U,pull,7,6,,U,CCW,7,7,
Zoom in,Z,away,7,7,,Z,away,6,7,,+,top,5,5,,Z,towards,6,6,,Z,CW,7,7,,Z,top,7,7,,enter,right,7,7,,win,top,7,7,,Z,right,7,6,changed from pull. G score changed from 7,Z,pull,7,7,,Z,CW,7,6,,Z,top,7,4,,Z,CW,7,7,,F9,pull,7,7,,Q,top,6,6,,Z,CW,7,7,,win,CW,6,6,changed from ctrlL. both scores changed from 5,L,CW,6,6,,Z,CW,7,6,G score changed from 4,Z,FB,7,7,
Zoom out,Z,towards,7,7,,Z,towards,6,7,,-,pull,5,5,,Z,away,6,6,changed K score from 5,Z,CCW,6,7,,Z,away,6,6,,enter,left,7,7,changed from <. changed K score from 5,win,pull,7,7,,Z,left,7,6,,Z,top,7,7,,Z,CCW,7,6,changed from away,Z,pull,7,5,,Z,CCW,6,7,,F9,top,7,7,,Q,pull,7,7,,Z,CCW,7,7,,win,CCW,6,6,,L,CCW,6,6,,Z,CCW,7,7,,Z,pull,7,7,
